,ID,Count
0,18288,411.71658903348765
1,18289,328.57137795557065
2,18290,278.072588193182
3,18291,229.76144521997836
4,18292,193.3909027817237
5,18293,173.11675812342463
6,18294,186.14752378074365
7,18295,215.88196040698915
8,18296,248.60154716697218
9,18297,321.247516965691
10,18298,455.9743663839208
11,18299,505.5073722795122
12,18300,510.8630828135704
13,18301,451.8185691389141
14,18302,483.10411318759213
15,18303,477.0021151200997
16,18304,464.8273851628968
17,18305,475.6558709421397
18,18306,487.3623420548347
19,18307,517.140677947753
20,18308,496.95433182279874
21,18309,463.8542847516535
22,18310,465.5370899741034
23,18311,454.53300712817054
24,18312,392.34694080004624
25,18313,313.11338529727897
26,18314,264.9903652268724
27,18315,218.9520717576034
28,18316,184.29262047246996
29,18317,164.97229468065632
30,18318,177.39001400047604
31,18319,205.72556218449975
32,18320,236.90582091455758
33,18321,306.13408319781854
34,18322,434.5225635769066
35,18323,481.7252361177141
36,18324,486.8289815091279
37,18325,430.56228026772226
38,18326,460.37596236292075
39,18327,454.56103933499844
40,18328,442.95908259823284
41,18329,453.27813065737524
42,18330,464.43385828888063
43,18331,492.8112404515226
44,18332,473.5745826169449
45,18333,442.03176273886345
46,18334,443.63539858589235
47,18335,433.1490146122777
48,18336,377.9202082447358
49,18337,301.6000979502169
50,18338,255.246577952613
51,18339,210.90112843882298
52,18340,177.51611715106742
53,18341,158.90620641311298
54,18342,170.8673219036569
55,18343,198.160962192017
56,18344,228.19471203688596
57,18345,294.87742720005747
58,18346,418.5450188018941
59,18347,464.01203276651006
60,18348,468.92811167671687
61,18349,414.7303564781273
62,18350,443.447779183105
63,18351,437.84667288377125
64,18352,426.6713241042852
65,18353,436.6109372014241
66,18354,447.35646487400675
67,18355,474.69040089113923
68,18356,456.16108161072884
69,18357,425.7781021165012
70,18358,427.32277171943497
71,18359,417.22197570720766
72,18360,262.6269084796785
73,18361,209.59001290171676
74,18362,177.37770620697088
75,18363,146.5608616538838
76,18364,123.36072016162332
77,18365,110.42819308959469
78,18366,118.74029367251899
79,18367,137.70737776516557
80,18368,158.57863762301898
81,18369,204.91824834051135
82,18370,290.8581810378527
83,18371,322.45443086738476
84,18372,325.8707462108439
85,18373,288.20726967844746
86,18374,308.1637784334075
87,18375,304.2714191486468
88,18376,296.5053689689805
89,18377,303.41267321531825
90,18378,310.8800291573051
91,18379,329.8751158347343
92,18380,316.99859393227024
93,18381,295.88464500630243
94,18382,296.9580774229631
95,18383,289.93876283749574
96,18384,261.6743328916065
97,18385,208.8298077462374
98,18386,176.73433849655964
99,18387,146.02926989968591
100,18388,122.91327777564241
101,18389,110.027658347816
102,18390,118.30961006234472
103,18391,137.20789853390224
104,18392,158.00345612366746
105,18393,204.1749881694587
106,18394,289.8032076367965
107,18395,321.2848545247014
108,18396,324.68877853089737
109,18397,287.1619114134096
110,18398,307.0460357993302
111,18399,303.1677945135823
112,18400,295.4299126197162
113,18401,302.31216334262587
114,18402,309.75243439442016
115,18403,328.6786238824221
116,18404,315.84880648748384
117,18405,294.81144008853545
118,18406,295.8809790522309
119,18407,288.88712426354454
120,18408,410.142690642516
121,18409,327.3153246974359
122,18410,277.00958026299884
123,18411,228.8831197442234
124,18412,192.65161357447738
125,18413,172.45497233602094
126,18414,185.4359243553971
127,18415,215.0566930284703
128,18416,247.6512002888012
129,18417,320.0194611536993
130,18418,454.23128062859405
131,18419,503.574933167154
132,18420,508.9101700442923
133,18421,450.09137004633385
134,18422,481.25731661278644
135,18423,475.1786450888338
136,18424,463.0504563408038
137,18425,473.8375472945803
138,18426,485.4992672446091
139,18427,515.1637673674952
140,18428,495.05458902866354
141,18429,462.081075869957
142,18430,463.75744811277366
143,18431,452.795431359747
144,18432,400.4953617514084
145,18433,319.61625151997885
146,18434,270.4937929827273
147,18435,223.4993574971475
148,18436,188.12008462136112
149,18437,168.3985064401491
150,18438,181.07412200880268
151,18439,209.99815439005295
152,18440,241.82597742375188
153,18441,312.4920004339477
154,18442,443.54690502753635
155,18443,491.7299018831136
156,18444,496.9396439360358
157,18445,439.50437294275537
158,18446,469.93723772184694
159,18447,464.00154800581265
160,18448,452.15863710955267
161,18449,462.6919953586299
162,18450,474.0794096819568
163,18451,503.04614486691975
164,18452,483.4099722931322
165,18453,451.21205829392557
166,18454,452.8489991029038
167,18455,442.14482963897694
168,18456,415.4307195303388
169,18457,331.5354484053963
170,18458,280.5811047496102
171,18459,231.83414283144793
172,18460,195.13549862499866
173,18461,174.6784591769858
174,18462,187.82677648370225
175,18463,217.82945000110502
176,18464,250.84420294643633
177,18465,324.14551824030787
178,18466,460.0877500684221
179,18467,510.06759743870225
180,18468,515.4716222946913
181,18469,455.8944630216986
182,18470,487.46223663400565
183,18471,481.30519192103463
184,18472,469.02063268556265
185,18473,479.9468031594198
186,18474,491.75887934737364
187,18475,521.8058481504814
188,18476,501.4373992738779
189,18477,468.03875385243833
190,18478,469.73673980445676
191,18479,458.63338818778055
192,18480,396.06107129689724
